rank,model_name,model_version,overall_normalized_score,test_samples,lh_participant_macro_log1p_mae,lh_participant_macro_raw_mae,lh_participant_macro_log1p_rmse,lh_skill_vs_causal_calendar,lh_participants_improved,lh_participants_compared,e3g_participant_macro_log1p_mae,e3g_participant_macro_raw_mae,e3g_participant_macro_log1p_rmse,e3g_skill_vs_causal_calendar,e3g_participants_improved,e3g_participants_compared,pdg_participant_macro_log1p_mae,pdg_participant_macro_raw_mae,pdg_participant_macro_log1p_rmse,pdg_skill_vs_causal_calendar,pdg_participants_improved,pdg_participants_compared
1,catboost,0.1.0,0.7844426360610978,301,0.526353437943142,4.388658746246081,0.6756390357213647,0.025786806940303553,4,4,0.5275742255310601,75.23643325978229,0.6478018124544215,0.04502130274136651,3,4,0.7094540700143681,5.623158285803297,0.8529274712761862,0.012109431730444098,2,4
2,population_median,0.1.0,0.7963724882829526,301,0.5219679954886348,4.358306628056628,0.675110981683839,0.03390370252529362,3,4,0.5379051475884832,76.17893178893178,0.6564107965892763,0.026320975829172588,4,4,0.7404526712332129,5.76,0.905685166611957,-0.031055062023218838,2,4
3,causal_calendar,0.1.0,0.8080307517019482,301,0.5402856804782451,4.489474603268213,0.6947963343175761,0.0,0,4,0.5524460671693696,77.45016918728584,0.6701903545912914,0.0,0,4,0.718150464030735,5.648291204581561,0.864142336837546,0.0,0,4
