calibration_budget,e3g_participant_macro_log1p_mae,e3g_participant_macro_log1p_rmse,e3g_participant_macro_raw_mae,e3g_skill_vs_population_median,fold_score_mean,fold_score_sd,lh_participant_macro_log1p_mae,lh_participant_macro_log1p_rmse,lh_participant_macro_raw_mae,lh_skill_vs_population_median,model_name,origins,overall_normalized_score,overall_skill_vs_population_median,participants,participants_improved_vs_population_median,pdg_participant_macro_log1p_mae,pdg_participant_macro_log1p_rmse,pdg_participant_macro_raw_mae,pdg_skill_vs_population_median,track
0,0.43297089700124386,0.5342948854245368,47.96953464092062,0.0,0.6339783669912092,0.08916163993727563,0.43456414109013897,0.5843516099370774,3.9258682373126015,0.0,population_median,1369,0.6339783669912095,0.0,20,0.0,0.6657244274877024,0.7977333714448342,4.551745735572389,0.0,few_shot_personalization
0,0.4331322966566865,0.5344015366518737,47.98654373950927,-0.0003727725271156501,0.6403822947463382,0.08662536263686778,0.44364095844093177,0.5917114212883607,3.987106268341102,-0.020887175200472896,joint_bayes_personalizer,1369,0.6403822947463381,-0.01010117708829883,20,6.0,0.6702380541331732,0.7993210296837849,4.573427104037384,-0.0067800225725593855,few_shot_personalization
0,0.43957993028250675,0.5405433644339375,48.88743715659455,-0.015264382264574827,0.6478329359731293,0.07350466456243832,0.4491599599931565,0.5957665095552921,4.023399702168835,-0.03358726025208325,catboost,1369,0.6478329359731293,-0.02185337813287247,20,7.0,0.6744571487322323,0.7815437013897438,4.599317451329787,-0.01311762177254816,few_shot_personalization
0,0.5500882340092605,0.6668537075091183,60.62115452623054,-0.27049701912800894,0.8197689291653478,0.09906019198393426,0.5766571544212702,0.7504247798086582,5.049871713203388,-0.3269782292084191,wearable_ridge,1369,0.8197689291653479,-0.2930550502154825,20,2.0,0.8571451438092496,1.0179210934647778,5.972610345167738,-0.2875374680840941,few_shot_personalization
3,0.4106021858185122,0.5080835956303372,45.18563916376632,0.0,0.6108523184435344,0.03141831315289658,0.43307445134136946,0.5828434922032458,3.9075455092019715,0.0,population_median,1369,0.6108523184435343,0.0,20,0.0,0.630636024908612,0.7649051880972427,4.3853470994121455,0.0,few_shot_personalization
3,0.4092706300648519,0.5072899741620355,44.81891329993088,0.0032429339142603375,0.6117008857339259,0.041877647029284946,0.4289795779206956,0.5809989960054815,3.886441624727405,0.00945535671289488,joint_bayes_personalizer,1369,0.6117008857339259,-0.0013891529339755682,20,8.0,0.6435301575630712,0.7782362161947728,4.47467347146296,-0.020446235459396167,few_shot_personalization
3,0.4042046601423047,0.5004317564974132,44.55746223351551,0.015580836871227022,0.6118738502793446,0.025803910433992064,0.44583726896215614,0.5921906786715752,3.9938041185101527,-0.029470262171449102,catboost,1369,0.6118738502793447,-0.0016723057357190818,20,9.0,0.6200190603458707,0.7435890033739561,4.369032072706278,0.016835328372304503,few_shot_personalization
3,0.5298870609141885,0.6425893811726862,60.51995843150488,-0.29051203139089155,0.8227129182967697,0.08387707906690912,0.6418496265578006,0.8033136310564067,5.21592216403063,-0.48207686823775453,wearable_ridge,1369,0.8227129182967697,-0.3468278558605804,20,1.0,0.7809708976381008,0.9530736919387287,6.068231023992172,-0.23838611622492456,few_shot_personalization
7,0.39762113331238036,0.4952017044556774,43.822741672081136,0.023877728779053586,0.6057096620609947,0.04183934704485181,0.42744093674705236,0.5789774585417373,3.8802862436889463,0.016497730633755703,joint_bayes_personalizer,1369,0.6057096620609951,0.012077421438148606,20,12.0,0.6467302572319014,0.7931605705304068,4.601753575872538,-0.008794295137759311,few_shot_personalization
7,0.3988287027204612,0.4978447795130794,44.163978536256586,0.020913260106442122,0.6071950846473768,0.04390279135403911,0.44161294324101413,0.5917978960431054,3.993389774637629,-0.016110752433772246,catboost,1369,0.6071950846473766,0.009654672382439666,20,13.0,0.6209666235880301,0.7682775257426697,4.4935973793141155,0.03139279422651198,few_shot_personalization
7,0.4073476705075387,0.5062447171855454,44.7789864621689,0.0,0.6131145043195031,0.04097457176173805,0.4346110324915565,0.5857520471063998,3.96081526712243,0.0,population_median,1369,0.6131145043195033,0.0,20,0.0,0.6410923023147994,0.789621794566515,4.565866423460591,0.0,few_shot_personalization
7,0.5169117528942266,0.6313763528749814,60.25626797075934,-0.2689694585712876,0.8208999538150797,0.11344411156777039,0.6382885223887338,0.8015368971392973,5.287847338220706,-0.4686431651988361,wearable_ridge,1369,0.8208999538150795,-0.3389015396499184,20,1.0,0.8059742974436492,0.9781423176074661,6.435779731137815,-0.2571891668851871,few_shot_personalization
